Are you a pair of glasses? You don’t appear to be one of my contacts.,1
Want to play agent and fondle my package?,1
God has used you to teach me what true love really is,0
"My body is a temple, so make sure you take your shoes off before you come in.",1
You must be Egyptian because I'm a slave for you.,1
My vocations director said i should talk to you . . . .,1
"I used to believe in natural theology, but since I met you I've converted to divine revelation.",0
"Girl, you like toasters? Let's get in bread together.",0
Got a toaster? Because your beautify is shocking me.,0
Girl. You condition my guns.,0
"Sleep with a UPS driver, because they always deliver.",1
Are you a boat? Because you need some captain to enter your pit.,0
Am I dreaming... or are you a revelation?,0
I wanna boldly go into your bed to cuddle because I think you're cute and don't want to rush things.,0
"When I saw you, I knew the true meaning of “Rejoice and Be Glad.”",0
Wanna serve at the soup kitchen with me on Wednesday?,0
It’s dark in here. Wait! It’s because all my light is shining on you.,0
Is your name Faith? Because you're the substance of things I've hoped for.,0
Do you trampoline? Because I want to break a bone into you.,0
Do you usually take out the trash? Then it shouldn't be so hard to take me out.,0
Are you microwaveable? Because I got some hot pockets.,0
"Wow, God must have been having a good day when He created you.",0
You a microwave? Because you warm my meat inside.,1
"If I’d give you eleven roses, what would you see in the mirror? A dozen roses.",1
"Are you a camera? Because every time I look at you, I smile.",1
Want to go back to my place and watch p*rn on my flat screen mirror?,0
If you were two letters of the alphabet You would be a Q T.,1
Want to spin a dreidel with me?,0
Are you an auto loan? Because you help moving my life forward.,1
"I know you're an atheist, but I can make you scream God.",1
I heard you like teddy bears. You can give me a cuddle.,0
"“Take me to bed or lose me forever.” — Carole, Top Gun",0
Hey so you want to see some magic? You and I will go to your place and I’ll disappear in the morning.,0
"Do you have a camera? No? That's okay, I can still picture us together.",1
Are you a deity? Because you look unreal.,0
I know I'm trash. But will you be my trash bin?,0
Are you a deity? Because you look out of this world.,0
"Girl, are you my glasses? Cause I want you on my face 24/7.",1
My friend over there really wants your number so they know where to get a hold of me in the morning.,0
I would totally carve your pumpkin sweetheart.,0
Hey girl. I heard Jesus called you. Mind I do the same?,0
"Girl let me tie your shoes, because I can go down on you any time.",1
It makes my head spin to see you serve food to those homeless people. You're such a servant.,0
Does your Dad wear a baker's hat? Because you've got a nice set of buns.,0
Are you lost? Because I can give you the keys to my place.,0
You don’t need keys to drive me crazy.,1
Did it hurt when they manufactured you in heaven?,0
Is your name virtue? Because you garnish MY thoughts unceasingly!,0
"Girl, are you pajamas? Because I want to fall asleep with you every night.",1
Do you believe in Divine Appointment?,0
"No relationship is all sunshine, but we can share one umbrella and survive the storm together.",0
Are those kolob pants you're wearing? Because your ass is out of this world!,1
